S.N.,District,जिल्ला,Code
1,TAPLEJUNG,ताप्लेजुङ,101
2,SANKHUWASABHA,संखुवासभा,102
3,SOLUKHUMBU,सोलुखुम्बु,103
4,OKHALDHUNGA,ओखलढुङ्गा,104
5,KHOTANG,खोटाङ,105
6,BHOJPUR,भोजपुर,106
7,DHANKUTA,धनकुटा,107
8,TERHATHUM,तेह्रथुम,108
9,PANCHTHAR,पाँचथर,109
10,ILAM,इलाम,110
11,JHAPA,झापा,111
12,MORANG,मोरङ,112
13,SUNSARI,सुनसरी,113
14,UDAYAPUR,उदयपुर,114
15,SAPTARI,सप्तरी,201
16,SIRAHA,सिरहा,202
17,DHANUSA,धनुषा,203
18,MAHOTTARI,महोत्तरी,204
19,SARLAHI,सर्लाही,205
20,RAUTAHAT ,रौतहट,206
21,BARA,बारा,207
22,PARSA,पर्सा,208
23,DOLAKHA,दोलखा,301
24,SINDHUPALCHOK,सिन्धुपाल्चोक,302
25,RASUWA,रसुवा,303
26,DHADING,धादिङ,304
27,NUWAKOT,नुवाकोट,305
28,KATHMANDU,काठमाडौँ,306
29,BHAKTAPUR,भक्तपुर,307
30,LALITPUR,ललितपुर,308
31,KAVREPALANCHOK,काभ्रेपलाञ्चोक,309
32,RAMECHHAP,रामेछाप,310
33,SINDHULI,सिन्धुली,311
34,MAKWANPUR,मकवानपुर,312
35,CHITAWAN,चितवन,313
36,GORKHA,गोरखा,401
37,MANANG,मनाङ,402
38,MUSTANG,मुस्ताङ,403
39,MYAGDI,म्याग्दी,404
40,KASKI,कास्की,405
41,LAMJUNG,लमजुङ,406
42,TANAHU,तनहुँ,407
43,NAWALPARASI EAST,ूनवलपरासी ((बर्दघाट सुस्ता,408
44,SYANGJA,पूर्व)ू,409
45,PARBAT,स्याङजा,410
46,BAGLUNG,पर्वत,411
47,RUKUM EAST,बागलुङ,501
48,ROLPA,रुकुम (पूर्वी भाग),502
49,PYUTHAN,रोल्पा,503
50,GULMI,प्यूठान,504
51,ARGHAKHANCHI,गुल्मी,505
52,PALPA,अर्घाखाँची,506
53,NAWALPARASI WEST,पाल्पा,507
54,RUPANDEHI,ूनवलपरासी (बर्दघाट सुस्ता,508
55,KAPILBASTU,पश्चिम)ू,509
56,DANG,रुपन्देही,510
57,BANKE,कपिलवस्तु,511
58,BARDIYA,दाङ,512
59,DOLPA,बाँके,601
60,MUGU,बर्दिया,602
61,HUMLA,डोल्पा,603
62,JUMLA,मुगु,604
63,KALIKOT,हुम्ला,605
64,DAILEKH,जुम्ला,606
65,JAJARKOT,कालिकोट,607
66,RUKUM WEST,दैलेख,608
67,SALYAN,जाजरकोट,609
68,SURKHET,रुकुम (पश्चिम भाग),610
69,BAJURA,सल्यान,701
70,BAJHANG,सुर्खेत,702
71,DARCHULA,बाजुरा,703
72,BAITADI,बझाङ,704
73,DADELDHURA,दार्चुला,705
74,DOTI,बैतडी,706
75,ACHHAM,डँडेलधुरा,707
76,KAILALI,डोटी,708
77,KANCHANPUR,अछाम,709
